customer_id,day,rfm_segment,plus_flag,orders,items,nmv,pc1_profit,shipping_profit
11,2025-03-21,RFM_B,0,1,3,572630.5364856864,71873.74813315824,10976.628607651422
27,2025-03-21,RFM_B,0,1,2,630586.000935518,82103.10064883098,36348.27796612249
29,2025-03-21,RFM_A,0,1,1,726949.799897313,78927.6139741712,27366.60324266005
36,2025-03-21,RFM_A,0,1,2,566262.5336453998,78371.05083246052,17907.565992485856
52,2025-03-21,RFM_A,0,1,1,600375.2553649071,69693.36612610731,26348.872055647735
59,2025-03-21,RFM_A,0,1,1,414400.46091420576,41349.896683080515,44919.227019766804
68,2025-03-21,RFM_B,0,1,1,489933.7899992933,74682.32223152327,52038.47043541301
81,2025-03-21,RFM_C,0,1,2,651945.9674733281,83288.78671028839,53465.53623801888
82,2025-03-21,RFM_B,0,1,2,771852.790461343,82849.49848852646,38558.97705917507
84,2025-03-21,RFM_A,0,1,3,564981.9323101883,80487.02605601586,46510.18532242661
91,2025-03-21,RFM_A,0,1,3,805022.5230885425,73080.00354264416,56893.10566305037
103,2025-03-21,RFM_B,0,1,2,697375.6345235248,83696.4173332764,32472.148888997453
107,2025-03-21,RFM_B,0,1,1,865836.0157122032,65155.512114939396,53410.89036319787
111,2025-03-21,RFM_B,0,1,1,840910.61451576,81212.6446818367,34268.77248000185
128,2025-03-21,RFM_A,0,1,1,1022309.3343459187,97852.76914799589,31839.170151659077
169,2025-03-21,RFM_B,0,1,1,1054116.937362383,90825.2175660719,58342.72977152638
175,2025-03-21,RFM_A,0,1,1,896792.5132166094,97192.45063859194,34182.39520597315
179,2025-03-21,RFM_D,0,1,2,606080.9985709208,52754.46742564945,41067.226490671426
186,2025-03-21,RFM_C,0,1,2,568665.8360540696,55770.5181064351,13763.122719794192
188,2025-03-21,RFM_A,0,1,2,811951.7376974322,64067.70023765977,32921.42402135433
192,2025-03-21,RFM_B,0,1,2,546063.1533440666,45603.02037234245,63337.14685180587
199,2025-03-21,RFM_A,0,2,4,1863615.4518633867,164914.32219149268,57844.03702332337
239,2025-03-21,RFM_A,0,1,3,836532.1236894154,84942.90639460116,49816.84111929383
243,2025-03-21,RFM_B,0,1,1,672287.552133718,59460.65597476692,45090.977649462264
252,2025-03-21,RFM_D,0,1,2,523333.1246235926,59786.76622836475,44580.28641375536
